Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-DHCPv6PFD;Get-DHCPv6PrefixDelegation;Get-DHCP V6 Prefix Delegation Configuration Information;dhcp6/prefixdelegation;https://192.168.1.254/api/v1/dhcp6/prefixdelegation;GET;public;private;dhcp-read;No;Yes;List;dhcp6-prefixdelegation;22.3.22
GET-DNSS;Get-DNSStats;Get DNS Stats Information;dns/stats;https://192.168.1.254/api/v1/dns/stats;GET;public;private;lan-read;No;Yes;List;dns-stats;22.3.22
GET-DYNDNS;Get-DYNDNS;Get DYNDNS Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;private;dyndns-read;No;Yes;List;dyndns-config;22.3.22
GET-DYNDNSPL;Get-DYNDNSProviderList;Get DYNDNS Provider List Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;private;dyndns-read;No;Yes;Table;dyndns-provider;22.3.22
GET-DYNDNSC;Get-DYNDNSClient;Get DYNDNS Client list Configuration Information;dyndns;https://192.168.1.254/api/v1/dyndns;GET;private;private;dyndns-read;No;Yes;Table;dyndns-client;22.3.22
GET-DYNDNSCID;Get-DYNDNSClientID;Get DYNDNS Client Configuration Information by ID;dyndns;https://192.168.1.254/api/v1/dyndns/{id};GET;private;private;dyndns-read;No;Yes;List;dyndns-client-id;22.3.22
GET-ErrorCodeTest;Get-ErrorCodeTest;Error Code : Unauthorized;401;https://192.168.1.254/api/v1/401;GET;private;private;host-read;No;Yes;List;error-401;22.3.22
GET-ErrorCodeTest;Get-ErrorCodeTest;Error Code : Operation not found;404;https://192.168.1.254/api/v1/404;GET;private;private;host-read;No;Yes;List;error-404;22.3.22
GET-FIREWALL;Get-FIREWALL;Get FIREWALL Configuration Information;firewall;https://192.168.1.254/api/v1/firewall;GET;private;private;firewall-read;No;Yes;List;firewall;22.3.22
GET-FIREWALLGM;Get-FIREWALLGamerMode;Get FIREWALL Gamer Mode Information;firewall/gamermode;https://192.168.1.254/api/v1/firewall/gamermode;GET;private;private;firewall-read;No;Yes;List;firewall-gamermode;22.3.22
GET-FIREWALLPR;Get-FIREWALLPingResponder;Get FIREWALL Ping Responder Configuration Information;firewall/pingresponder;https://192.168.1.254/api/v1/firewall/pingresponder;GET;public;private;firewall-read;No;Yes;List;firewall-pingresponder;22.3.22
GET-FIREWALLR;Get-FIREWALLRules;Get FIREWALL Rules Information;firewall/rules;https://192.168.1.254/api/v1/firewall/rules;GET;private;private;firewall-read;No;Yes;Table;firewall-rules;22.3.22
GET-FIREWALLRID;Get-FIREWALLRulesID;Get FIREWALL Rules Information by ID;firewall/rules;https://192.168.1.254/api/v1/firewall/rules/{ID};GET;private;private;firewall-read;No;Yes;List;firewall-rules-id;22.3.22
GET-FIREWALLv6L;Get-FIREWALLv6Level;Get FIREWALL V6 Level;firewallv6/level;https://192.168.1.254/api/v1/firewallv6/level;GET;private;private;firewall-read;No;Yes;List;firewallv6-level;22.3.22
GET-FIREWALLv6R;Get-FIREWALLv6Rules;Get FIREWALL V6 Rules Information;firewallv6/rules;https://192.168.1.254/api/v1/firewallv6/rules;GET;private;private;firewall-read;No;Yes;Table;firewallv6-rules;22.3.22
GET-FIREWALLv6RID;Get-FIREWALLv6RulesID;Get FIREWALL V6 Rules Information by ID;firewallv6/rules;https://192.168.1.254/api/v1/firewallv6/rules/{id};GET;private;private;firewall-read;No;Yes;List;firewallv6-rules-id;22.3.22
GET-GRAPHSID;Get-GRAPHSID;Get GRAPHS Configuration Information by ID;graphs;https://192.168.1.254/api/v1/graphs/{ID};GET;public;private;lan-read;No;No;List;graphs;22.3.22
GET-HOSTSDTH;Get-HOSTSDownloadThreshold;Get HOSTS Download Threshold Information;hosts;https://192.168.1.254/api/v1/hosts;GET;private;private;host-read;No;Yes;List;hosts-downloadthreshold;23.7.8
GET-HOSTS;Get-HOSTS;Get HOSTS List Information;hosts;https://192.168.1.254/api/v1/hosts;GET;private;private;host-read;No;Yes;Table;hosts;22.3.22
GET-HOSTSID;Get-HOSTID;Get HOSTS List Information by ID;hosts;https://192.168.1.254/api/v1/hosts/{ID};GET;private;private;host-read;No;Yes;List;hosts-id;22.3.22
GET-HOSTSW;Get-HOSTWireless;Get HOSTS Wireless List Information;hosts;https://192.168.1.254/api/v1/hosts;GET;private;private;host-read;No;Yes;Table;hosts-wireless;23.7.8
GET-HOSTSL;Get-HOSTSLite;Get HOSTS Lite Information;hosts/lite;https://192.168.1.254/api/v1/hosts/lite;GET;public;private;host-read;No;Yes;Table;hosts-lite;22.3.22
GET-HOSTSME;Get-HOSTSME;Get MY HOST Information;hosts/me;https://192.168.1.254/api/v1/hosts/me;GET;public;private;host-read;No;Yes;List;hosts-me;22.3.22
GET-HOSTSP;Get-HOSTSPAUTH;Get HOSTS PAUTH Information;hosts/pauth;https://192.168.1.254/api/v1/hosts/pauth;GET;public;private;host-read;No;Yes;Table;hosts-pauth;22.3.22
GET-IPTV;Get-IPTV;Get IPTV Configuration Information;iptv;https://192.168.1.254/api/v1/iptv;GET;private;private;diag-read;No;Yes;Table;iptv;22.3.22
GET-IPTVD;Get-IPTVDiags;Get IPTV Diags Information;iptv/diags;https://192.168.1.254/api/v1/iptv/diags;GET;private;private;diag-read;No;Yes;List;iptv-diags;22.3.22
GET-LANA;Get-LANAlerts;Get LAN User Alerts Information;alerts;https://192.168.1.254/api/v1/alerts;GET;public;private;alert-read;No;Yes;Table;alerts;22.3.22
GET-LANIPC;Get-LANIPConfig;Get LAN IP Configuration Information;lan/ip;https://192.168.1.254/api/v1/lan/ip;GET;public;private;lan-read;No;Yes;List;lan-ip-config;22.3.22
GET-LANIPSC;Get-LANIPSwitchConfig;Get LAN IP Switch Configuration Information;lan/ip;https://192.168.1.254/api/v1/lan/ip;GET;public;private;lan-read;No;Yes;Table;lan-ip-switch-config;22.3.22
GET-LANS;Get-LANIPStats;Get LAN Stats Information;lan/stats;https://192.168.1.254/api/v1/lan/stats;GET;public;private;lan-read;No;Yes;List;lan-stats;22.3.22
