Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/{item_id};Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/{item_id}/download;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/feeds/{feed_id}/items/mark_all_as_read;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/config;Get;Private;Private;;Yes;Yes;List;Null;
;;;;https://mafreebox.freebox.fr/api/v4/downloads/throttling;Get;Private;Private;;Yes;Yes;List;Null;
;;Returns the collection of all FsTask tasks;;https://mafreebox.freebox.fr/api/v4/fs/tasks;Get;Private;Private;;No;Yes;Table;FS_Tasks;
;;Returns the FsTask task with the given by Task  ID;;https://mafreebox.freebox.fr/api/v4/fs/tasks/{id};Get;Private;Private;;No;Yes;List;FS_Tasks_By_ID;
;;Deletes the FsTask task with the given by Task  ID, if the task was running, stop it.;; https://mafreebox.freebox.fr/api/v4/fs/tasks/{id};Delete;Private;Private;;No;No;List;FS_Tasks_By_ID;
;;Updates the FsTask task with the given by Task ID;; https://mafreebox.freebox.fr/api/v4/fs/tasks/{id};Put;Private;Private;;No;No;List;FS_Tasks_By_ID;
;;Returns the list of FileInfos for the given path;;https://mafreebox.freebox.fr/api/v4/fs/ls/{path};Get;Private;Private;;No;Yes;Table;FS_LS_Path;
;;Returns the list of FileInfos for the given path;;https://mafreebox.freebox.fr/api/v4/fs/info/{path};Get;Private;Private;;No;Yes;Table;FS_Info_Path;
;;Move files;; https://mafreebox.freebox.fr/api/v4/fs/mv;Post;Private;Private;;No;No;Table;FS_MV;
;;Copy files;; https://mafreebox.freebox.fr/api/v4/fs/cp;Post;Private;Private;;No;No;Table;FS_CP;
;;Remove files;; https://mafreebox.freebox.fr/api/v4/fs/rm;Post;Private;Private;;No;No;Table;FS_RM;
;;Cat Files;; https://mafreebox.freebox.fr/api/v4/fs/cat;Post;Private;Private;;No;No;Table;FS_CAT;
;;Create an archive;; https://mafreebox.freebox.fr/api/v4/fs/archive;Post;Private;Private;;No;No;Table;FS_Archive;
;;Extract a file;; https://mafreebox.freebox.fr/api/v4/fs/extract;Post;Private;Private;;No;No;Table;FS_Extract;
;;Repaire a file;; https://mafreebox.freebox.fr/api/v4/fs/repair;Post;Private;Private;;No;No;Table;FS_Repair;
;;Hash a file;; https://mafreebox.freebox.fr/api/v4/fs/hash;Post;Private;Private;;No;No;Table;FS_Hash;
;;Get the hash value;;https://mafreebox.freebox.fr/api/v4/fs/tasks/{id}/hash;Get;Private;Private;;No;Yes;List;FS_Tasks_Hash_By_ID;
;;Create a directory;; https://mafreebox.freebox.fr/api/v4/fs/mkdir;Post;Private;Private;;No;No;List;FS_MKDIR;
;;Rename a file/folder;; https://mafreebox.freebox.fr/api/v4/fs/rename;Post;Private;Private;;No;No;List;FS_Rename;
;;Download a file;;https://mafreebox.freebox.fr/api/v4/dl/{path};Get;Private;Private;;No;Yes;List;DL_Path_File;
